,name,nationality,position,club,age,tackles_attemped,tackles_won,def_3rd_tackles,mid_3rd_tackles,off_3rd_tackles,dribbler_tackles_won,dribbler_tackles_attempted,dribber_tackles_success_rate,dribber_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors_leading_to_shots,tackles_attemped_per_90,tackles_won_per_90,def_3rd_tackles_per_90,mid_3rd_tackles_per_90,off_3rd_tackles_per_90,dribbler_tackles_won_per_90,dribbler_tackles_attempted_per_90,dribber_tackles_lost_per_90,blocks_per_90,shots_blocked_per_90,passes_blocked_per_90,interceptions_per_90,tackles_and_interceptions_per_90,clearances_per_90,errors_leading_to_shots_per_90
302,Iñigo Lekue,ESP,DF,Athletic Club,31.0,15,12,12,3,0,9,17,52.9,8,7,2,5,9,24,29,2,1.74,1.4,1.4,0.35,0.0,1.05,1.98,0.93,0.81,0.23,0.58,1.05,2.79,3.37,0.23
303,Thomas Lemar,FRA,MF,Atlético Madrid,28.0,2,1,1,1,0,2,4,50.0,2,0,0,0,0,2,1,0,2.22,1.11,1.11,1.11,0.0,2.22,4.44,2.22,0.0,0.0,0.0,0.0,2.22,1.11,0.0
304,Clément Lenglet,FRA,DF,Atlético Madrid,29.0,27,17,19,8,0,11,15,73.3,4,24,18,6,22,49,104,1,1.23,0.78,0.87,0.37,0.0,0.5,0.68,0.18,1.1,0.82,0.27,1.0,2.24,4.75,0.05
305,Robert Lewandowski,POL,FW,Barcelona,35.0,10,5,1,5,4,5,11,45.5,6,14,2,12,3,13,26,0,0.34,0.17,0.03,0.17,0.14,0.17,0.37,0.2,0.47,0.07,0.41,0.1,0.44,0.88,0.0
306,Samuel Lino,BRA,"MF,DF",Atlético Madrid,24.0,33,17,25,4,4,22,52,42.3,30,23,4,19,8,41,13,0,1.92,0.99,1.45,0.23,0.23,1.28,3.02,1.74,1.34,0.23,1.1,0.47,2.38,0.76,0.0
307,Javier Llabrés,ESP,FW,Mallorca,21.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,0.0,0.0,0.0,0.0
308,Diego Llorente,ESP,DF,Betis,30.0,36,20,23,12,1,25,38,65.8,13,29,20,9,43,79,154,1,1.29,0.71,0.82,0.43,0.04,0.89,1.36,0.46,1.04,0.71,0.32,1.54,2.82,5.5,0.04
309,Marcos Llorente,ESP,"DF,MF",Atlético Madrid,29.0,69,52,38,27,4,36,55,65.5,19,32,7,25,27,96,51,1,2.47,1.86,1.36,0.97,0.14,1.29,1.97,0.68,1.15,0.25,0.9,0.97,3.44,1.83,0.04
310,Giovani Lo Celso,ARG,"MF,FW",Betis,28.0,34,22,8,17,9,17,25,68.0,8,14,2,12,5,39,3,1,2.1,1.36,0.49,1.05,0.56,1.05,1.54,0.49,0.86,0.12,0.74,0.31,2.41,0.19,0.06
311,Enzo Loiodice,FRA,MF,Las Palmas,23.0,17,7,8,9,0,3,10,30.0,7,4,1,3,10,27,7,2,2.24,0.92,1.05,1.18,0.0,0.39,1.32,0.92,0.53,0.13,0.39,1.32,3.55,0.92,0.26
312,David López,ESP,DF,Mallorca,21.0,3,2,3,0,0,2,2,100.0,0,2,2,0,1,4,10,0,1.58,1.05,1.58,0.0,0.0,1.05,1.05,0.0,1.05,1.05,0.0,0.53,2.11,5.26,0.0
313,David López,ESP,DF,Girona,34.0,32,24,22,7,3,18,31,58.1,13,22,12,10,14,46,111,2,1.19,0.89,0.81,0.26,0.11,0.67,1.15,0.48,0.81,0.44,0.37,0.52,1.7,4.11,0.07
314,Diego López,ESP,"MF,FW",Valencia,22.0,31,18,11,16,4,16,47,34.0,31,30,0,30,16,47,15,0,1.02,0.59,0.36,0.53,0.13,0.53,1.55,1.02,0.99,0.0,0.99,0.53,1.55,0.49,0.0
315,Fer López,ESP,"FW,MF",Celta Vigo,21.0,9,5,1,6,2,2,13,15.4,11,10,0,10,2,11,7,0,1.2,0.67,0.13,0.8,0.27,0.27,1.73,1.47,1.33,0.0,1.33,0.27,1.47,0.93,0.0
316,Fermin López,ESP,"MF,FW",Barcelona,21.0,19,15,3,9,7,8,32,25.0,24,11,0,11,5,24,3,0,1.37,1.08,0.22,0.65,0.5,0.58,2.3,1.73,0.79,0.0,0.79,0.36,1.73,0.22,0.0
