Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,73.8,1.25,14.1,28.8,31.3,0.94,73.8,4.06,0.94,23.1,2.81,69.2,38.8,170.6,79.4,1.25,1.25,0,1.88,1.25,44.4,4.06,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,40,0,0,20,20,0,40,0,0,,0,,20,60,10,0,0,0,0,0,30,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,47.7,0.29,6.86,13.1,28,4.86,47.7,4.57,2,43.8,2.29,50,29.1,237.4,109.7,6.29,2.57,1.43,4.57,1.43,31.7,11.1,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,65.9,2.8,15.6,42.7,8.15,0.58,65.9,1.28,0.45,35.5,0.62,48.4,31.4,134.8,62.3,0.86,0.7,0,0.95,0.74,44,0.66,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,53.6,0.79,7.29,18.8,28.7,4.5,53.6,4.93,1.86,37.7,2.86,58,33.6,214,88.5,3.07,1.86,1.36,3.36,1.86,37.3,10.9,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,68.9,1.97,16,38.6,14.6,1.12,68.9,1.62,0.97,59.5,0.54,33.3,43.2,200.9,89.4,1.12,1.35,0.23,1.89,0.89,50.5,2.66,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,24.2,0.85,1.71,9.53,13.4,4.88,24.1,1.94,0.7,36,0.97,50,13.4,86.7,40.3,1.71,1.36,0.97,3.33,1.05,18.8,4.81,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,63.6,9.4,37,24.1,3,0.77,63.6,0.64,0.3,46.7,0.34,53.3,34.5,167.5,108.8,0.3,0.64,0.04,0.52,0.21,38.8,0.04,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,4,0,0,4,0,0,4,0,0,,0,,3,11,4,0,0,0,0,1,3,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,39.4,32.3,38.9,0.47,0,0,39.4,0.19,0.19,100,0,0,24,113.9,71.1,0,0,0,0.03,0,19.6,0,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,37,3,11,19.5,7,0.5,37,1,0.5,50,0.5,50,18.5,96.5,51,0.5,1,0,0.5,0,21,1.5,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,34.6,0.9,3.69,10.2,21.3,3.24,34.6,0.99,0.36,36.4,0.36,36.4,21.8,169.5,93.5,4.59,1.44,1.26,1.53,0.36,27,9.91,Matches
