Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
470,Daniel Requena,es ESP,MF,Villarreal,20,2004,0.1,5,0,0,4,1,1,5,0,0,,0,,2,10,9,0,0,0,0,0,5,1,Matches
471,Diego Rico,es ESP,DF,Getafe,31,1993,31.3,1929,78,532,901,516,11,1929,14,6,42.9,6,42.9,694,2551,1235,27,30,3,48,13,772,84,Matches
472,Luis Rioja,es ESP,FW,Alavés,30,1993,0.3,15,0,2,4,10,2,15,0,0,,0,,8,99,71,4,1,2,0,0,10,3,Matches
473,Luis Rioja,es ESP,"MF,FW",Valencia,30,1993,31.5,1505,39,252,533,741,59,1503,91,43,47.3,37,40.7,816,5793,2812,93,57,28,42,40,1031,228,Matches
474,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,24,2000,5.7,354,6,41,136,185,23,354,24,6,25,16,66.7,246,1708,1001,43,25,10,11,6,259,62,Matches
475,Alberto Risco,es ESP,"MF,FW",Getafe,18,2005,0.8,57,0,7,17,34,5,57,6,1,16.7,5,83.3,32,153,79,3,3,2,5,4,33,6,Matches
476,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,28,1995,4.8,302,16,102,130,73,0,302,13,2,15.4,10,76.9,153,818,329,8,2,0,7,4,179,11,Matches
477,Gorka Rivera Alonso,es ESP,"DF,MF",Getafe,19,2004,0.2,17,0,7,8,2,0,17,2,0,0,1,50,5,23,5,0,0,0,2,0,5,0,Matches
478,Marc Roca,es ESP,MF,Betis,27,1996,10.1,632,27,154,374,108,19,632,5,4,80,1,20,385,2069,1037,11,14,0,9,7,427,13,Matches
479,Rodri,es ESP,FW,Betis,24,2000,1.3,86,3,22,32,33,6,86,6,2,33.3,4,66.7,57,401,183,4,3,3,5,2,63,11,Matches
