Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,0.31,0.05,0.05,0.82,1.75,0.26,0.77,0.41,0.41,0.05,0,0,2.84,0.36,0.41,46.7,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,0.13,0,0,0.77,1.47,0.06,5.96,0.45,0.77,0,0.06,0,3.97,0.26,0.19,57.1,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,0.67,0.13,0,1.73,2.4,0.67,3.87,0.27,0.4,0,0,0,3.73,0.8,1.07,42.9,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,0.1,0,0,1.44,1.75,0,1.24,1.03,2.16,0,0,0,5.77,1.13,0.41,73.3,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,0.1,0,0,0.82,0.62,0.31,0.52,0.52,1.44,0,0,0,2.89,1.44,1.44,50,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,0,0,0,2,8,0,2,0,2,0,0,0,2,0,0,,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,0.23,0.03,0,0.87,0.34,0,0.27,0.97,0.91,0,0.03,0,4.63,2.18,1.01,68.4,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,0.31,0,0,1.49,1.63,0.17,7.19,0.76,0.52,0,0,0,4.86,0.56,0.66,45.7,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,0.1,0,0,0.63,0.63,0,0,1.25,0.73,0,0,0,3.65,3.23,1.35,70.5,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,0.29,0.14,0,1.01,0.14,0,0,0.87,0.58,0,0.14,0,2.75,1.59,1.01,61.1,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,0.37,0,0,1.94,1.3,0,0.37,1.39,1.3,0,0.09,0,5.65,1.57,1.2,56.7,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,0.51,0,0,2.91,0.89,1.52,0.25,0,0.51,0.13,0,0,3.16,1.52,3.29,31.6,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,0.08,0,0,0.63,1.46,0,2.64,0.2,0.39,0,0,0,4.8,0.63,0.35,64,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,0.23,0,0,1.43,1.13,0.08,1.43,0.98,1.05,0,0,0,2.93,1.05,1.95,35,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,0.11,0,0,0.78,1.89,0.44,2.78,0.56,0.78,0,0,0,5.78,0.56,1.11,33.3,Matches
