Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,144,136,7,1,0,0,16,6,0,0,0,0,106,1,4,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,426,399,24,1,1,0,6,1,0,0,0,0,239,3,9,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,74,72,2,2,0,0,1,0,0,0,0,0,67,0,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,84,83,1,0,1,0,6,0,1,0,0,0,60,0,4,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,84,79,4,1,0,0,12,3,0,0,0,0,59,1,4,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,1442,1274,157,58,1,16,17,12,0,0,0,0,1084,11,13,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,381,362,18,9,0,4,2,4,0,0,0,0,325,1,2,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,793,746,42,17,4,4,2,25,0,0,0,0,700,5,11,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,263,248,13,0,7,2,6,2,0,0,0,0,207,2,12,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,834,749,82,55,4,12,34,4,23,9,10,0,703,3,8,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,112,96,16,3,0,1,16,0,11,1,9,0,89,0,1,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,443,368,74,9,1,2,20,65,0,0,0,0,342,1,6,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,158,149,8,1,0,1,18,3,4,0,3,0,92,1,10,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,179,111,67,21,0,0,0,0,0,0,0,0,94,1,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,161,154,6,0,1,2,14,4,0,0,0,0,100,1,6,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,48,45,3,0,1,1,1,0,1,0,0,0,38,0,2,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,1457,1206,245,23,2,2,111,221,1,0,0,0,1126,6,39,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,1109,1083,24,23,2,10,3,1,0,0,0,0,950,2,21,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,1798,1432,361,48,1,14,41,313,0,0,0,0,1448,5,37,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,895,745,147,3,2,4,41,143,1,0,0,0,681,3,30,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,463,409,53,7,0,0,14,46,0,0,0,0,399,1,9,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,395,383,10,10,0,4,2,0,0,0,0,0,343,2,8,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,1367,1330,37,34,4,7,9,3,0,0,0,0,1221,0,17,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,1521,1402,112,100,1,18,2,2,0,0,0,0,1274,7,7,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,14,13,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,1361,1306,52,30,4,7,14,14,7,4,2,0,1284,3,13,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,132,108,24,4,2,0,6,18,2,1,1,0,91,0,7,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,58,37,21,5,1,1,3,16,0,0,0,0,35,0,2,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,1561,1279,278,15,0,9,79,263,0,0,0,0,1244,4,39,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,103,94,9,0,0,0,2,0,0,0,0,0,73,0,3,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,143,134,9,3,0,1,3,6,0,0,0,0,113,0,1,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,34,25,9,3,1,0,9,2,4,1,3,0,22,0,1,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,220,218,2,2,0,0,0,0,0,0,0,0,202,0,2,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,1002,727,272,93,0,0,0,0,0,0,0,0,683,3,0,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,1179,1137,33,20,5,8,4,4,0,0,0,0,999,9,14,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,1149,1114,31,13,2,10,10,8,3,1,0,0,972,4,13,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,95,91,2,2,0,0,0,0,0,0,0,0,75,2,2,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,918,855,61,50,0,13,0,2,0,0,0,0,805,2,6,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,1374,1340,26,22,7,10,14,2,0,0,0,0,1163,8,22,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,640,500,139,32,0,0,0,0,0,0,0,0,519,1,0,Matches
