Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,59.3,57,2.22,2.22,0,0.37,0,0,0,0,0,0,54.8,0,0.74,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,54.2,45.8,7.5,0.83,0,0,3.75,5.83,0.83,0.42,0.42,0,42.1,0.83,1.67,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,25.4,23.3,1.79,0,0,0,1.67,1.79,0,0,0,0,18.2,0.26,1.79,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,31.9,30.3,1.61,1.44,0,0.25,0,0,0,0,0,0,24.3,0,0.08,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,42.2,39.8,2.08,1.75,0.17,0.76,0.96,0.23,0,0,0,0,33.4,0.26,0.79,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,84.5,77.7,6.41,2.1,0.13,1.04,1.36,3.85,0.03,0,0,0,75,0.32,0.94,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,41.1,32.5,8.61,0.49,0,0,2.54,8.11,0,0,0,0,32.9,0,0.82,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,42.2,39.9,2.23,1.51,0.12,0.18,0.06,0.54,0,0,0,0,36.7,0.06,0.27,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,63.3,60.7,2.67,1.33,0,0.33,0,0,0,0,0,0,58,0,0,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,27.9,26.8,1.06,0.06,0.06,0.06,0.61,0.17,0,0,0,0,21.1,0.06,1.11,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,31.3,29.6,1.52,0.22,0,0,3.48,1.3,0,0,0,0,23,0.22,0.87,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,13,12.2,0.73,0.03,0.03,0,0.18,0.03,0,0,0,0,7.29,0.09,0.27,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,46.3,45,1.25,1.25,0,0,0.63,0,0,0,0,0,41.9,0,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,50,50,0,0,0,0,10,0,0,0,0,0,40,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,46.7,46.1,0.56,0,0.56,0,3.33,0,0.56,0,0,0,33.3,0,2.22,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,40,37.6,1.9,0.48,0,0,5.71,1.43,0,0,0,0,28.1,0.48,1.9,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,45.2,39.9,4.92,1.82,0.03,0.5,0.53,0.38,0,0,0,0,34,0.34,0.41,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,48.2,45.8,2.28,1.14,0,0.51,0.25,0.51,0,0,0,0,41.1,0.13,0.25,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,65,61.1,3.44,1.39,0.33,0.33,0.16,2.05,0,0,0,0,57.4,0.41,0.9,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,20.9,19.7,1.03,0,0.56,0.16,0.48,0.16,0,0,0,0,16.4,0.16,0.95,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,63.2,56.7,6.21,4.17,0.3,0.91,2.58,0.3,1.74,0.68,0.76,0,53.3,0.23,0.61,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,38.6,33.1,5.52,1.03,0,0.34,5.52,0,3.79,0.34,3.1,0,30.7,0,0.34,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,43.9,36.4,7.33,0.89,0.1,0.2,1.98,6.44,0,0,0,0,33.9,0.1,0.59,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,38.5,36.3,1.95,0.24,0,0.24,4.39,0.73,0.98,0,0.73,0,22.4,0.24,2.44,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,29.8,18.5,11.2,3.5,0,0,0,0,0,0,0,0,15.7,0.17,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,24,23,0.9,0,0.15,0.3,2.09,0.6,0,0,0,0,14.9,0.15,0.9,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,32,30,2,0,0.67,0.67,0.67,0,0.67,0,0,0,25.3,0,1.33,Matches
