Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,27.8,38.7,71.8,545.6,148.1,11,13.9,79.3,11.9,14.6,81.6,4.44,8.15,54.5,0,0.02,0.03,-0.02,0.65,2.59,0.74,0,3.61,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,10.6,15.9,66.7,122.4,27.6,7.59,9.87,76.9,1.9,3.54,53.6,0.25,0.51,50,0.25,0.08,0.1,0.18,1.01,1.14,0.63,0,1.77,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,51.4,58.4,88,754.3,156.9,28.9,30.9,93.5,19.5,21.5,90.5,1.69,2.8,60.6,0.16,0.13,0.11,0.02,1.02,2.01,1.54,0.43,3.66,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,37,48.8,75.8,607.7,251,18.6,20.5,90.8,15.2,19.2,78.9,2.56,6.39,40,0,0.04,0.03,-0.04,0.53,2.86,0.45,0.3,3.46,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,31.9,40.4,78.8,446.1,115.7,18.9,21.9,86.3,9.44,11.3,83.3,1.56,2.67,58.3,0.11,0.2,0.18,-0.09,1.33,2.22,1.44,0.67,3.33,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,18,20,90,244,22,10,10,100,4,4,100,2,4,50,0,0,0,0,0,0,2,0,2,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,43.4,59.7,72.8,668.4,279.7,24.1,27.5,87.5,11.9,16.6,71.7,4.06,9.38,43.3,0,0.19,0.09,-0.19,1.88,3.75,0.94,0,4.06,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,30,40,75,480,20,10,10,100,20,20,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,21.1,32.6,64.9,408,123.1,9.43,11.4,82.5,7.43,10.6,70.3,3.43,6,57.1,0.29,0.34,0.37,-0.06,2.86,0.86,2.29,2,1.14,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,48.1,55.6,86.5,828.8,223.1,22.8,25,91.3,20.2,22.3,90.6,4.32,6.3,68.6,0.08,0.04,0.05,0.05,0.62,5.88,0.29,0,5.19,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,26.8,37.8,70.9,445.4,100.6,14.4,17.2,83.8,8.43,11.6,72.4,3,5.07,59.2,0.21,0.14,0.18,0.08,1.14,1.64,1.57,0.29,3.43,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,50.2,58.3,86,803.9,218.1,26.4,28.9,91.5,19.2,21.1,90.7,3.4,5.37,63.3,0.15,0.09,0.08,0.06,1,5.71,0.93,0.19,5.48,Matches
