Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,2,0.67,1.33,0.67,0,1,1,100,0,1.33,1,0.33,0.33,2.33,2.33,0,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,1.44,0.61,0.28,0.83,0.33,0.5,0.94,52.9,0.44,1.33,0.61,0.72,0.89,2.33,1.89,0,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,2.17,1.09,1.3,0.87,0,1.3,1.96,66.7,0.65,1.3,0,1.3,0.22,2.39,0.22,0,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,0.61,0.27,0.09,0.34,0.18,0.09,0.4,23.1,0.3,0.58,0.12,0.46,0.06,0.67,0.79,0,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,2.5,1.88,0,0.63,1.88,0.63,1.25,50,0.63,0,0,0,0,2.5,1.25,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,2.22,2.22,0,1.67,0.56,1.67,2.22,75,0.56,2.78,0,2.78,1.67,3.89,1.11,0.56,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,3.81,0.95,1.9,1.43,0.48,2.86,6.19,46.2,3.33,0.95,0,0.95,0,3.81,0.48,0,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,1.25,0.72,0.91,0.25,0.09,0.6,1.03,57.6,0.44,1.1,0.78,0.31,0.94,2.19,6.24,0.06,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,2.28,1.27,1.65,0.51,0.13,1.01,1.52,66.7,0.51,2.03,1.14,0.89,2.03,4.3,6.33,0.13,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,3.44,2.13,1.89,1.31,0.25,1.56,2.7,57.6,1.15,1.97,0.66,1.31,1.48,4.92,1.89,0,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,0.71,0.24,0.16,0.4,0.16,0.32,0.48,66.7,0.16,0.63,0.08,0.56,0.32,1.03,1.27,0,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,1.59,1.21,0.61,0.83,0.15,0.83,1.52,55,0.68,0.68,0.08,0.61,1.44,3.03,1.44,0.15,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,1.03,0.69,0,0.34,0.69,0.34,0.34,100,0,1.03,0,1.03,0.69,1.72,0.69,0,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,0.89,0.59,0.59,0.2,0.1,0.4,1.09,36.4,0.69,1.09,0.59,0.5,0.59,1.49,3.27,0,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,2.68,1.71,0.73,0.98,0.98,0.98,2.44,40,1.46,1.46,0.24,1.22,1.22,3.9,1.22,0,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0.5,0,Matches
