Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,4,0,0,38,13,4,11,16,11,1,0,0,61,20,38,34.5,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,2,0,0,12,20,5,16,1,5,0,0,0,26,3,3,50,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,4,0,0,47,35,15,6,2,9,6,0,0,54,136,132,50.7,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,0,0,0,2,3,0,1,0,3,0,0,0,6,0,1,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,0,0,0,4,7,0,6,3,4,1,0,0,6,1,2,33.3,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,1,0,0,5,5,0,12,0,2,0,0,0,11,1,3,25,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,4,1,0,24,8,0,17,30,23,1,1,0,83,77,42,64.7,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,1,0,0,6,8,0,2,16,10,0,0,0,26,12,17,41.4,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,2,0,0,21,31,1,2,18,26,0,1,0,90,20,18,52.6,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,2,0,0,11,10,2,6,4,3,0,0,0,32,11,26,29.7,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,5,0,0,7,20,0,34,19,16,0,1,0,84,15,4,78.9,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,0,0,0,1,2,1,16,2,2,0,0,0,17,0,3,0,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,1,0,0,5,7,2,20,6,6,0,0,0,23,3,8,27.3,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,3,0,0,12,6,1,18,5,7,0,0,0,20,4,8,33.3,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,1,0,0,8,8,5,14,4,5,0,0,0,19,8,11,42.1,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,2,0,0,2,3,0,1,0,2,0,0,0,8,0,6,0,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,11,0,0,38,28,3,111,40,48,0,1,0,131,41,27,60.3,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,4,0,0,38,27,0,3,48,31,0,0,0,138,29,18,61.7,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,11,0,0,49,43,1,41,68,59,0,0,0,164,33,20,62.3,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,1,0,0,19,7,3,41,17,16,0,0,0,66,3,14,17.6,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,1,0,0,3,6,0,14,10,8,0,0,0,21,7,5,58.3,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,1,0,0,7,3,0,2,3,6,0,0,0,29,6,5,54.5,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,4,1,1,26,36,0,9,22,25,0,0,0,90,8,23,25.8,Matches
