Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,2.59,2.6,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,2.51,2.51,2.23,0,0,0.06,0.11,0.11,0.34,0.34,0.34,0,0,0,0,0,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,0.85,0.85,0.67,0.09,0,0.03,0.06,0,0.18,0.18,0.12,0,0,0.03,0.03,0,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,4.22,4.22,3.7,0.37,0.07,0,0.07,0,0.37,0.37,0.3,0.07,0,0,0,0,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,1.67,1.65,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,1.43,1.38,1.43,0,0,0,0,0,0.71,0.69,0.71,0,0,0,0,0,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,2.13,2.12,1.74,0.14,0.03,0.1,0.07,0.03,0.07,0.07,0.07,0,0,0,0,0,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,2.82,2.81,1.41,0,0.28,0.56,0.56,0,0.7,0.7,0.14,0,0.14,0.14,0.28,0,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,1.47,1.49,0.88,0,0.29,0.29,0,0,0.29,0.3,0.29,0,0,0,0,0,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,4.38,4.29,0,1.25,1.88,0.63,0.63,0,0.63,0.61,0,0.63,0,0,0,0,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,0.36,0.35,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,1.97,1.98,1.47,0.13,0.08,0.08,0.08,0.13,0.08,0.08,0.04,0,0,0.04,0,0,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,1.73,1.74,1.4,0.04,0.04,0.07,0.18,0,0.18,0.18,0.11,0,0,0,0.07,0,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,1.11,1.1,0.56,0,0,0,0,0.56,0,0,0,0,0,0,0,0,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,0.61,0.61,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,2.75,2.74,2.43,0.07,0.04,0.07,0,0.14,0.39,0.39,0.32,0,0,0.04,0,0.04,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,0.14,0.14,0.05,0.09,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,1.49,1.48,1.38,0,0,0.11,0,0,0,0,0,0,0,0,0,0,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,0.59,0.59,0.53,0.06,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,5,6.43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,3.93,3.92,2.36,0.11,0.45,0.45,0.34,0.22,0.56,0.56,0.34,0,0.22,0,0,0,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,1.88,1.87,1.41,0.12,0.24,0,0.12,0,0,0,0,0,0,0,0,0,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,3.3,3.31,2.5,0,0.45,0.18,0.09,0.09,0.36,0.36,0.27,0,0,0.09,0,0,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,0.77,0.76,0.7,0,0,0.03,0.03,0,0.07,0.07,0.03,0,0,0,0.03,0,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,1.9,1.9,1.39,0.03,0.1,0.2,0.14,0.03,0.2,0.2,0.14,0.03,0,0.03,0,0,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,0.13,0.13,0.1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,0.84,0.84,0.6,0.18,0,0.06,0,0,0.06,0.06,0.06,0,0,0,0,0,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,2.03,2.03,1.35,0.24,0.08,0.2,0.08,0.08,0.24,0.24,0.24,0,0,0,0,0,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,1.2,1.2,1.17,0,0,0.03,0,0,0.21,0.21,0.17,0,0,0.03,0,0,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,3.62,3.64,2.52,0,0.39,0.39,0.24,0.08,0.63,0.63,0.39,0,0.08,0,0.16,0,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,0.91,0.9,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,2.7,2.7,1.76,0.41,0.34,0.14,0.07,0,0,0,0,0,0,0,0,0,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,3.15,3.15,1.51,1.44,0.07,0.13,0,0,0.23,0.23,0.16,0.07,0,0,0,0,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,3.85,3.84,3.29,0.26,0.04,0.13,0.09,0.04,0.56,0.56,0.51,0,0,0,0.04,0,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,0.55,0.55,0.27,0,0,0.27,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,2.26,2.28,1.94,0,0,0.32,0,0,0.65,0.65,0.65,0,0,0,0,0,Matches
