Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
316,Fer López,,"FW,MF",Celta Vigo,,,7.5,2,20,5,25,2.68,0.67,0.1,0.4,15.7,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
317,Fermin López,es ESP,"MF,FW",Barcelona,21,2003,13.9,6,41,15,36.6,2.95,1.08,0.15,0.4,18,0,0,0,5.6,5.6,0.14,0.4,0.4,Matches
318,Javi López,es ESP,DF,Real Sociedad,22,2002,21.5,0,5,1,20,0.23,0.05,0,0,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
319,Pau López,es ESP,GK,Girona,29,1994,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
320,Roberto López,es ESP,MF,Leganés,24,2000,4.4,0,6,1,16.7,1.36,0.23,0,0,27.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
321,Unai López,es ESP,MF,Rayo Vallecano,28,1995,19,3,26,11,42.3,1.37,0.58,0.12,0.27,22.8,1,0,0,1.6,1.6,0.06,1.4,1.4,Matches
322,Iker Losada,es ESP,"FW,MF",Celta Vigo,22,2001,4,1,3,2,66.7,0.75,0.5,0.33,0.5,11.7,0,0,0,1.1,1.1,0.38,-0.1,-0.1,Matches
323,Iker Losada,es ESP,"MF,FW",Betis,22,2001,3.7,0,5,1,20,1.34,0.27,0,0,18.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
324,Pol Lozano,es ESP,MF,Espanyol,24,1999,21.6,0,8,2,25,0.37,0.09,0,0,29.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
325,José Luis Gayà,es ESP,DF,Valencia,29,1995,20,0,12,4,33.3,0.6,0.2,0,0,19.3,0,0,0,1,1,0.09,-1,-1,Matches
326,Dodi Lukebakio,be BEL,FW,Sevilla,26,1997,34.4,11,93,38,40.9,2.71,1.11,0.11,0.26,19.2,2,1,1,10.1,9.3,0.1,0.9,0.7,Matches
327,Daniel Luna,co COL,MF,Mallorca,21,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
328,Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
329,Darwin Machís,ve VEN,"MF,FW",Valladolid,31,1993,7.1,0,14,2,14.3,1.97,0.28,0,0,22.1,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
330,Pablo Maffeo,es ESP,DF,Mallorca,27,1997,26.3,0,7,1,14.3,0.27,0.04,0,0,19,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
331,Jon Magunazelaia,es ESP,MF,Real Sociedad,23,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
332,Giorgi Mamardashvili,ge GEO,GK,Valencia,23,2000,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
333,Reinildo Mandava,mz MOZ,DF,Atlético Madrid,30,1994,10.5,0,1,1,100,0.1,0.1,0,0,9.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
334,Javier Manquillo,es ESP,DF,Celta Vigo,30,1994,5.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
335,Marcão,br BRA,DF,Sevilla,28,1996,6.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
336,Óscar de Marcos,es ESP,DF,Athletic Club,35,1989,17.4,0,8,2,25,0.46,0.12,0,0,19.7,0,0,0,1,1,0.12,-1,-1,Matches
337,Alberto Marí,es ESP,FW,Valencia,23,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
338,José María Giménez,uy URU,DF,Atlético Madrid,29,1995,22.2,0,5,1,20,0.23,0.05,0,0,8.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
339,Arkaitz Mariezkurrena,es ESP,"FW,MF",Real Sociedad,19,2005,2.7,2,10,5,50,3.73,1.87,0.2,0.4,16.9,0,0,0,1,1,0.1,1,1,Matches
340,Pablo Marín,es ESP,MF,Real Sociedad,21,2003,13.8,1,21,7,33.3,1.53,0.51,0.05,0.14,18.5,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
341,Mika Mármol,es ESP,DF,Las Palmas,23,2001,26.7,0,10,0,0,0.38,0,0,,15.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
342,Mario Maroto,es ESP,MF,Valladolid,20,2003,0.7,0,1,0,0,1.41,0,0,,28.1,0,0,0,0,0,0.02,0,0,Matches
343,Unai Marrero,es ESP,GK,Real Sociedad,22,2001,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
344,Carlos Martín,es ESP,"FW,MF",Alavés,22,2002,14.8,2,26,12,46.2,1.76,0.81,0.08,0.17,17,0,0,0,2.3,2.3,0.09,-0.3,-0.3,Matches
345,Diego Martín,es ESP,FW,Las Palmas,20,2003,0.4,0,1,0,0,2.25,0,0,,28.9,0,0,0,0,0,0.04,0,0,Matches
346,Gerard Martín,es ESP,DF,Barcelona,22,2002,11.5,1,7,2,28.6,0.61,0.17,0.14,0.5,16.6,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
347,Iván Martín,es ESP,MF,Girona,25,1999,22.7,1,11,3,27.3,0.49,0.13,0.09,0.33,19.1,0,0,0,1.8,1.8,0.16,-0.8,-0.8,Matches
348,Jon Martin,es ESP,DF,Real Sociedad,18,2006,10,0,9,1,11.1,0.9,0.1,0,0,10.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
349,Mario Martín,es ESP,MF,Valladolid,20,2004,19.4,0,28,13,46.4,1.44,0.67,0,0,21.4,0,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches
350,Arnau Martinez,es ESP,"DF,MF",Girona,21,2003,29.2,2,19,6,31.6,0.65,0.21,0.11,0.33,15.4,0,0,0,1.2,1.2,0.07,0.8,0.8,Matches
351,Iñigo Martínez,es ESP,DF,Barcelona,33,1991,27.7,0,13,2,15.4,0.47,0.07,0,0,13.5,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
352,Javi Martínez,es ESP,MF,Osasuna,24,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
353,Ramón Martínez,es ESP,DF,Sevilla,21,2002,2.9,1,4,3,75,1.38,1.03,0.25,0.33,11.8,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
354,Toni Martínez,es ESP,FW,Alavés,27,1997,11.2,4,46,15,32.6,4.09,1.33,0.09,0.27,17.1,0,0,0,3.6,3.6,0.08,0.4,0.4,Matches
355,Javi Martón,es ESP,"FW,MF",Athletic Club,25,1999,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
356,Marvin,es ESP,"DF,FW",Las Palmas,24,2000,11.5,0,5,0,0,0.43,0,0,,13.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
357,Omar Mascarell,gq EQG,MF,Mallorca,31,1993,22.1,1,9,2,22.2,0.41,0.09,0.11,0.5,16.8,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
358,Jaime Mata,es ESP,"FW,MF",Las Palmas,35,1988,7.3,0,17,6,35.3,2.33,0.82,0,0,11.3,0,0,0,2.6,2.6,0.15,-2.6,-2.6,Matches
359,Borja Mayoral,es ESP,FW,Getafe,27,1997,12.4,5,19,8,42.1,1.54,0.65,0.21,0.5,13.9,0,1,1,3.4,2.6,0.14,1.6,1.4,Matches
360,Kylian Mbappé,fr FRA,FW,Real Madrid,25,1998,32.3,31,152,75,49.3,4.71,2.32,0.16,0.32,17.3,3,7,9,25.9,18.6,0.12,5.1,5.4,Matches
361,Oliver McBurnie,sct SCO,FW,Las Palmas,28,1996,20.4,3,32,12,37.5,1.57,0.59,0.09,0.25,12.3,0,0,0,4.8,4.8,0.15,-1.8,-1.8,Matches
362,Scott McKenna,sct SCO,DF,Las Palmas,27,1996,27.4,0,10,0,0,0.36,0,0,,12.5,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
363,Mateo Mejía,es ESP,FW,Sevilla,21,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
364,Arthur Melo,br BRA,MF,Girona,27,1996,10.5,0,6,1,16.7,0.57,0.1,0,0,26,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
365,Brais Méndez,es ESP,MF,Real Sociedad,27,1997,17,3,28,9,32.1,1.65,0.53,0.11,0.33,18,4,0,0,3.5,3.5,0.13,-0.5,-0.5,Matches
366,Ferland Mendy,fr FRA,DF,Real Madrid,29,1995,11.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
367,Nobel Mendy,fr FRA,DF,Betis,19,2004,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
368,Víctor Meseguer,es ESP,MF,Valladolid,25,1999,4.6,0,6,0,0,1.29,0,0,,19.6,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
369,Miguel,es ESP,FW,Leganés,24,1999,19.2,1,33,14,42.4,1.72,0.73,0,0,15.5,0,1,2,4.9,3.3,0.1,-3.9,-3.3,Matches
370,Éder Militão,br BRA,DF,Real Madrid,26,1998,10.4,1,10,3,30,0.96,0.29,0.1,0.33,17.3,0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
371,Luis Milla,es ESP,MF,Getafe,29,1994,31.9,1,31,7,22.6,0.97,0.22,0,0,25.3,4,1,1,1.8,1,0.03,-0.8,-1,Matches
372,Pere Milla,es ESP,"MF,FW",Espanyol,31,1992,5.1,3,11,5,45.5,2.17,0.99,0.27,0.6,15.7,1,0,0,1.5,1.5,0.13,1.5,1.5,Matches
373,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,25,1999,30.3,4,33,10,30.3,1.09,0.33,0.12,0.4,23.3,8,0,0,1.5,1.5,0.04,2.5,2.5,Matches
374,Kim Minsu,kr KOR,"MF,FW",Girona,18,2006,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
375,Bojan Miovski,mk MKD,FW,Girona,25,1999,9.7,2,14,4,28.6,1.45,0.41,0.14,0.5,12.3,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Matches
376,Rafa Mir,es ESP,"FW,MF",Valencia,27,1997,8.4,1,27,7,25.9,3.23,0.84,0.04,0.14,16.5,0,0,0,3,3,0.11,-2,-2,Matches
377,Luka Modrić,hr CRO,MF,Real Madrid,38,1985,20.3,2,22,6,27.3,1.08,0.3,0.09,0.33,23.1,1,0,0,1.6,1.6,0.07,0.4,0.4,Matches
378,Johan Mojica,co COL,DF,Mallorca,31,1992,30.6,1,17,3,17.6,0.56,0.1,0.06,0.33,24.2,4,0,0,0.9,0.9,0.05,0.1,0.1,Matches
379,Alberto Moleiro,es ESP,"FW,MF",Las Palmas,20,2003,30.2,6,68,24,35.3,2.25,0.8,0.09,0.25,19,0,0,0,5.6,5.6,0.08,0.4,0.4,Matches
380,Nahuel Molina,ar ARG,DF,Atlético Madrid,26,1998,17.7,0,9,1,11.1,0.51,0.06,0,0,19.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
381,Jon Moncayola,es ESP,MF,Osasuna,26,1998,23.3,0,21,9,42.9,0.9,0.39,0,0,17.9,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches
382,Gonzalo Montiel,ar ARG,"DF,MF",Sevilla,27,1997,1.3,0,1,0,0,0.8,0,0,,14.7,0,0,0,0,0,0.03,0,0,Matches
383,Gerard Moreno,es ESP,FW,Villarreal,32,1992,8,3,23,9,39.1,2.87,1.12,0,0,18.2,0,3,3,4.2,1.8,0.08,-1.2,-1.8,Matches
384,Xavier Moreno,es ESP,FW,Valladolid,19,2004,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
385,Mateu Morey,es ESP,DF,Mallorca,24,2000,8.2,0,3,1,33.3,0.36,0.12,0,0,19.9,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
386,Ilaix Moriba,gn GUI,MF,Celta Vigo,21,2003,23.7,1,34,11,32.4,1.44,0.46,0.03,0.09,23.7,0,0,0,1.7,1.7,0.05,-0.7,-0.7,Matches
387,Manu Morlanes,es ESP,MF,Mallorca,25,1999,14.9,0,11,1,9.1,0.74,0.07,0,0,22.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
388,Raúl Moro,es ESP,"MF,FW",Valladolid,21,2002,26,4,46,16,34.8,1.77,0.62,0.09,0.25,17.8,0,0,0,4.1,4.1,0.09,-0.1,-0.1,Matches
389,Cristhian Mosquera,es ESP,DF,Valencia,20,2004,36.9,1,5,2,40,0.14,0.05,0.2,0.5,10.5,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches
390,Santiago Mouriño,uy URU,DF,Alavés,22,2002,20.5,0,13,3,23.1,0.63,0.15,0,0,15.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
391,Abdul Mumin,gh GHA,DF,Rayo Vallecano,26,1998,22.4,2,10,3,30,0.45,0.13,0.2,0.67,12.9,0,0,0,0.6,0.6,0.06,1.4,1.4,Matches
392,Aihen Muñoz,es ESP,DF,Real Sociedad,26,1997,12.2,0,6,0,0,0.49,0,0,,30,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
393,Álex Muñoz,es ESP,DF,Las Palmas,30,1994,15.7,3,9,5,55.6,0.57,0.32,0.33,0.6,14.5,0,0,0,0.9,0.9,0.1,2.1,2.1,Matches
394,Iker Muñoz,es ESP,MF,Osasuna,21,2002,6.8,0,11,0,0,1.62,0,0,,23.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
395,Javier Muñoz,es ESP,"MF,DF",Las Palmas,29,1995,28.8,1,25,6,24,0.87,0.21,0.04,0.17,21.8,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
396,Víctor Muñoz,es ESP,"FW,DF",Real Madrid,21,2003,0.4,0,1,0,0,2.5,0,0,,15.3,0,0,0,0.5,0.5,0.49,-0.5,-0.5,Matches
397,Vedat Muriqi,xk KVX,FW,Mallorca,30,1994,22.9,7,52,16,30.8,2.27,0.7,0.1,0.31,12.3,0,2,3,9.7,7.3,0.14,-2.7,-2.3,Matches
398,Juan Musso,ar ARG,GK,Atlético Madrid,30,1994,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
399,Matija Nastasić,rs SRB,DF,Leganés,31,1993,23.4,1,2,1,50,0.09,0.04,0.5,1,11.7,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches
400,Natan,br BRA,DF,Betis,23,2001,24.2,1,9,4,44.4,0.37,0.17,0.11,0.25,13.9,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
401,Pau Navarro,es ESP,DF,Villarreal,19,2005,10.2,0,1,0,0,0.1,0,0,,30.4,0,0,0,0,0,0.01,0,0,Matches
402,Roberto Navarro,es ESP,"MF,FW",Mallorca,22,2002,14.2,1,18,6,33.3,1.27,0.42,0.06,0.17,16.2,0,0,0,2,2,0.11,-1,-1,Matches
403,Jesús Navas,es ESP,"FW,MF",Sevilla,38,1985,4.7,1,3,2,66.7,0.64,0.42,0.33,0.5,14.9,0,0,0,0.5,0.5,0.18,0.5,0.5,Matches
404,Yvan Neyou,cm CMR,MF,Leganés,27,1997,25.7,1,16,3,18.8,0.62,0.12,0.06,0.33,25.8,0,0,0,0.6,0.6,0.04,0.4,0.4,Matches
405,Tanguy Nianzou,fr FRA,DF,Sevilla,22,2002,5.8,0,2,0,0,0.35,0,0,,8.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
406,Saúl Ñíguez,es ESP,MF,Sevilla,29,1994,17.3,1,42,9,21.4,2.43,0.52,0.02,0.11,19.2,2,0,0,2.8,2.8,0.07,-1.8,-1.8,Matches
407,Tamás Nikitscher,hu HUN,"MF,DF",Valladolid,24,1999,9.5,0,2,1,50,0.21,0.1,0,0,20.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
408,Adrian Niño,es ESP,FW,Atlético Madrid,20,2004,0.1,0,2,0,0,15,0,0,,13.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
409,Hugo Novoa,es ESP,"DF,MF",Alavés,21,2003,2.6,0,1,0,0,0.38,0,0,,9.7,0,0,0,0.5,0.5,0.49,-0.5,-0.5,Matches
410,Randy Nteka,ao ANG,FW,Rayo Vallecano,26,1997,12.5,3,16,8,50,1.28,0.64,0.19,0.38,13.6,0,0,0,2.6,2.6,0.16,0.4,0.4,Matches
411,Unai Núñez,es ESP,DF,Athletic Club,27,1997,7.2,0,1,0,0,0.14,0,0,,3.3,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
412,Ørjan Nyland,no NOR,GK,Sevilla,33,1990,29.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
413,Allan Nyom,cm CMR,"DF,MF",Getafe,36,1988,9.9,1,9,4,44.4,0.91,0.41,0.11,0.25,16.4,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches
414,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
415,Lucas Ocampos,ar ARG,FW,Sevilla,30,1994,1.9,0,4,2,50,2.06,1.03,0,0,24.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
416,Álvaro Odriozola,es ESP,DF,Real Sociedad,28,1995,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
417,Thiago Ojeda,ar ARG,MF,Villarreal,21,2003,0.1,0,1,0,0,11.25,0,0,,31.3,0,0,0,0,0,0.01,0,0,Matches
418,Aingeru Olabarrieta,es ESP,FW,Athletic Club,18,2005,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
419,Olasagasti,es ESP,MF,Real Sociedad,23,2000,9.5,1,13,2,15.4,1.37,0.21,0.08,0.5,18.5,0,0,0,0.9,0.9,0.07,0.1,0.1,Matches
420,Brian Oliván,es ESP,DF,Espanyol,30,1994,11.3,0,6,1,16.7,0.53,0.09,0,0,23.8,2,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
421,Lucas Oliveira Rosa,br BRA,DF,Valladolid,24,2000,21,0,8,3,37.5,0.38,0.14,0,0,18.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
422,Dani Olmo,es ESP,"MF,FW",Barcelona,26,1998,13.5,10,40,15,37.5,2.97,1.11,0.2,0.53,18.1,1,2,2,6.5,4.9,0.12,3.5,3.1,Matches
423,Aimar Oroz,es ESP,MF,Osasuna,22,2001,33,5,47,15,31.9,1.43,0.46,0.09,0.27,19.7,3,1,1,4.2,3.5,0.08,0.8,0.5,Matches
424,Ángel Ortíz,es ESP,DF,Betis,20,2004,3.9,0,2,0,0,0.51,0,0,,23,0,0,0,0,0,0.02,0,0,Matches
425,Gabriel Osei Misehouy,nl NED,"FW,MF",Girona,19,2005,2.9,1,6,2,33.3,2.1,0.7,0.17,0.5,17.2,0,0,0,0.9,0.9,0.15,0.1,0.1,Matches
426,David Otorbi,es ESP,MF,Valencia,16,2007,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
427,Jesús Owono,gq EQG,GK,Alavés,23,2001,5.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
428,Mikel Oyarzabal,es ESP,FW,Real Sociedad,27,1997,25,9,39,13,33.3,1.56,0.52,0.13,0.38,13.4,0,4,4,9.9,6.8,0.17,-0.9,-1.8,Matches
429,Cenk Özkacar,tr TUR,DF,Valladolid,23,2000,8.4,0,2,0,0,0.24,0,0,,13.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
430,Jon Pacheco,es ESP,DF,Real Sociedad,23,2001,9.5,0,1,0,0,0.11,0,0,,8.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
431,Alex Padilla,es ESP,GK,Athletic Club,20,2003,3.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
432,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,29,1994,24,4,61,18,29.5,2.54,0.75,0.07,0.22,22.3,1,0,0,4.7,4.7,0.08,-0.7,-0.7,Matches
433,Aitor Paredes,es ESP,DF,Athletic Club,24,2000,20.1,3,6,3,50,0.3,0.15,0.5,1,4.7,0,0,0,2.3,2.3,0.38,0.7,0.7,Matches
434,Daniel Parejo,es ESP,MF,Villarreal,35,1989,25.3,3,12,2,16.7,0.48,0.08,0.17,1,22.8,0,1,2,2.5,0.8,0.07,0.5,1.2,Matches
435,Iago Parente,es ESP,DF,Valladolid,18,2006,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
436,Álvaro Pascual,es ESP,FW,Sevilla,22,2002,4.5,1,11,4,36.4,2.43,0.88,0.09,0.25,11.6,0,0,0,1.1,1.1,0.1,-0.1,-0.1,Matches
437,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,28,1996,5.1,0,5,2,40,0.98,0.39,0,0,13.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
438,Pedri,es ESP,MF,Barcelona,21,2002,32,4,25,11,44,0.78,0.34,0.16,0.36,19.6,0,0,0,2.2,2.2,0.09,1.8,1.8,Matches
439,Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,25.5,1,24,7,29.2,0.94,0.27,0.04,0.14,24.5,0,0,0,0.9,0.9,0.04,0.1,0.1,Matches
440,Pejiño,es ESP,FW,Las Palmas,28,1996,0.2,0,1,0,0,5.63,0,0,,24.6,0,0,0,0,0,0.03,0,0,Matches
441,Andy Pelmard,fr FRA,DF,Las Palmas,24,2000,2.3,0,1,0,0,0.44,0,0,,28.9,0,0,0,0,0,0.01,0,0,Matches
442,Iñaki Peña,es ESP,GK,Barcelona,25,1999,15.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
443,Rubén Peña,es ESP,"FW,DF",Osasuna,33,1991,8.6,0,10,3,30,1.16,0.35,0,0,15.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
444,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,29,1995,16.7,3,38,17,44.7,2.28,1.02,0.08,0.18,16,1,0,0,3.8,3.8,0.1,-0.8,-0.8,Matches
445,Peque,es ESP,"MF,FW",Sevilla,21,2002,12.6,1,19,4,21.1,1.51,0.32,0.05,0.25,15.7,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matches
446,Ayoze Pérez,es ESP,FW,Villarreal,31,1993,21.9,19,75,31,41.3,3.43,1.42,0.25,0.61,14.2,0,0,0,12.7,12.7,0.18,6.3,6.3,Matches
447,Carles Pérez,es ESP,"MF,FW",Getafe,26,1998,15.9,3,34,9,26.5,2.14,0.57,0.09,0.33,21.1,1,0,0,2.4,2.4,0.07,0.6,0.6,Matches
448,Francisco Perez,es ESP,"FW,MF",Valencia,21,2002,6.3,0,6,1,16.7,0.95,0.16,0,0,18.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
449,Kike Pérez,es ESP,MF,Valladolid,27,1997,13.2,2,20,4,20,1.51,0.3,0.1,0.5,21.1,1,0,0,2.1,2.1,0.11,-0.1,-0.1,Matches
450,Luis Pérez,es ESP,DF,Valladolid,29,1995,28.4,0,5,2,40,0.18,0.07,0,0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
451,Romain Perraud,fr FRA,DF,Betis,26,1997,22.2,2,20,5,25,0.9,0.22,0.1,0.4,21.7,0,0,0,0.5,0.5,0.03,1.5,1.5,Matches
452,Valentín Pezzolesi,es ESP,DF,Las Palmas,17,2007,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
453,Pica,es ESP,DF,Alavés,22,2002,5.5,0,4,1,25,0.72,0.18,0,0,10.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
454,Yeremi Pino,es ESP,"MF,FW",Villarreal,21,2002,21.5,4,29,8,27.6,1.35,0.37,0.14,0.5,12.8,0,0,0,3.9,3.9,0.13,0.1,0.1,Matches
455,Portu,es ESP,"FW,MF",Girona,32,1992,8.7,1,8,3,37.5,0.92,0.35,0.13,0.33,16.6,0,0,0,1.6,1.6,0.21,-0.6,-0.6,Matches
456,Beñat Prados,es ESP,MF,Athletic Club,23,2001,19.1,1,16,5,31.3,0.84,0.26,0.06,0.2,20.1,0,0,0,1,1,0.06,0,0,Matches
457,Abdón Prats,es ESP,"FW,MF",Mallorca,31,1992,5.1,2,13,4,30.8,2.57,0.79,0.08,0.25,14.7,0,1,1,2.2,1.5,0.11,-0.2,-0.5,Matches
458,Javi Puado,es ESP,"FW,MF",Espanyol,26,1998,33,12,66,19,28.8,2,0.57,0.11,0.37,20.7,0,5,5,11.6,7.7,0.12,0.4,-0.7,Matches
459,Dani Raba,es ESP,"FW,MF",Leganés,28,1995,20.9,8,39,12,30.8,1.87,0.57,0.1,0.33,25.5,4,4,5,7.5,3.6,0.09,0.5,0.4,Matches
460,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
461,Antonio Raillo,es ESP,DF,Mallorca,32,1991,35.6,2,35,8,22.9,0.98,0.22,0.06,0.25,12.8,0,0,0,2,2,0.06,0,0,Matches
462,Benito Ramírez,es ESP,"DF,FW",Las Palmas,29,1995,5.3,0,10,1,10,1.88,0.19,0,0,22.7,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
463,Sandro Ramírez,es ESP,"FW,MF",Las Palmas,29,1995,22.6,9,51,20,39.2,2.26,0.88,0.16,0.4,24.3,14,1,1,4.1,3.3,0.06,4.9,4.7,Matches
464,Jacobo Ramón,es ESP,DF,Real Madrid,19,2005,2.3,1,2,1,50,0.88,0.44,0.5,1,9.5,0,0,0,0.2,0.2,0.08,0.8,0.8,Matches
465,Raphinha,br BRA,"FW,MF",Barcelona,27,1996,31.5,18,112,40,35.7,3.55,1.27,0.14,0.4,19.1,18,2,2,19.2,17.6,0.16,-1.2,-1.6,Matches
466,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,26,1998,34.1,2,31,7,22.6,0.91,0.21,0.06,0.29,19.1,0,0,0,1.8,1.8,0.06,0.2,0.2,Matches
467,Raúl,es ESP,"FW,MF",Osasuna,23,2000,8.3,4,25,12,48,3,1.44,0.16,0.33,14.4,0,0,0,3.5,3.5,0.14,0.5,0.5,Matches
468,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,25,1998,4.3,0,6,1,16.7,1.4,0.23,0,0,20.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
469,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
470,Daniel Requena,es ESP,MF,Villarreal,20,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
471,Diego Rico,es ESP,DF,Getafe,31,1993,31.3,0,16,3,18.8,0.51,0.1,0,0,31.1,1,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches
472,Luis Rioja,es ESP,FW,Alavés,30,1993,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
473,Luis Rioja,es ESP,"MF,FW",Valencia,30,1993,31.5,5,28,12,42.9,0.89,0.38,0.11,0.25,21.2,1,2,2,3.3,1.7,0.06,1.7,1.3,Matches
474,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,24,2000,5.7,0,14,4,28.6,2.44,0.7,0,0,17.7,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
