Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
505,Roberto Navarro,es ESP,"MF,FW",Mallorca,22,2002,23,"1,278",56,37.4,14.2,1.06,71,0,0.56,27,0.14,1.48,0.92,0.92,0,0,0.38,1.16,1,0.16,0.16,0.6,Matches
506,Jesús Navas,es ESP,"FW,MF",Sevilla,38,1985,15,424,28,12.4,4.7,0.64,66,0,2.55,19,0.64,1.47,1.06,1.28,-0.21,-0.21,0.15,1.47,1.32,0.13,0.13,0.29,Matches
507,Yvan Neyou,cm CMR,MF,Leganés,27,1997,30,"2,312",77,67.6,25.7,1.05,83,0.58,0.12,26,0.04,0.9,0.97,1.4,-0.43,-0.43,0.06,0.91,1.65,-0.73,-0.73,-0.36,Matches
508,Tanguy Nianzou,fr FRA,DF,Sevilla,22,2002,6,518,86,15.1,5.8,1.03,86,0.69,0,,0.69,1.83,1.21,0.86,0.34,0.35,0.81,1.19,1.21,-0.02,-0.02,0.12,Matches
509,Saúl Ñíguez,es ESP,MF,Sevilla,29,1994,24,"1,553",65,45.4,17.3,0.98,80,0.46,0.4,27,0.12,1,0.81,1.16,-0.35,-0.35,-0.01,1.02,1.08,-0.06,-0.06,0.12,Matches
510,Tamás Nikitscher,hu HUN,"MF,DF",Valladolid,24,1999,13,858,66,25.1,9.5,0.95,86,0.84,0.42,20,0.42,0.08,0.32,2.63,-2.32,-2.31,-0.83,0.88,1.78,-0.89,-0.9,-0.04,Matches
511,Adrian Niño,es ESP,FW,Atlético Madrid,20,2004,1,12,12,0.4,0.1,0,,0,10,12,0,0,0,0,0,0,-1,13,0,13,10.1,9.31,Matches
512,Hugo Novoa,es ESP,"DF,MF",Alavés,21,2003,5,237,47,6.9,2.6,0.77,90,0.77,1.15,19,7.69,1.2,1.54,2.31,-0.77,-0.76,-0.53,1.77,1.27,0.5,0.48,0.63,Matches
513,Randy Nteka,ao ANG,FW,Rayo Vallecano,26,1997,24,"1,129",47,33,12.5,1.28,62,0,0.64,17,0.72,1.17,0.8,1.2,-0.4,-0.4,-0.44,0.98,1.42,-0.43,-0.43,-0.5,Matches
514,Lucas Núñez,es ESP,MF,Valencia,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
515,Unai Núñez,es ESP,DF,Athletic Club,27,1997,10,645,65,18.9,7.2,0.97,85,0.69,0.42,18,3.19,1.6,1.25,0.69,0.56,0.56,-0.12,1.18,1.03,0.15,0.15,-0.31,Matches
516,Ørjan Nyland,no NOR,GK,Sevilla,33,1990,30,"2,673",89,78.2,29.7,1.01,89,0.98,0,,0.13,1.13,1.08,1.31,-0.24,-0.24,0.49,1.15,1.23,-0.07,-0.07,0.23,Matches
517,Allan Nyom,cm CMR,"DF,MF",Getafe,36,1988,20,887,44,25.9,9.9,1.01,75,0.51,1.01,13,0.2,0.95,0.81,1.21,-0.4,-0.41,-0.37,0.72,1.16,-0.44,-0.45,-0.27,Matches
518,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36,"3,240",90,94.7,36,1,90,1,0,,0,1.94,1.75,0.83,0.92,0.92,-1.58,1.67,0.92,0.75,0.75,-1.28,Matches
519,Lucas Ocampos,ar ARG,FW,Sevilla,30,1994,2,175,88,5.1,1.9,1.05,88,0.53,0,,0,0.5,1.58,1.58,0,0,0.36,1.47,1.05,0.37,0.37,0.52,Matches
520,Álvaro Odriozola,es ESP,DF,Real Sociedad,28,1995,2,43,22,1.3,0.5,0,,0,4,22,34,0,0,0,0,0,0.29,0.6,0.8,-0.2,-0.27,-0.24,Matches
521,Sixtus Ogbuehi,ng NGA,FW,Osasuna,21,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
