Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,29,14,13,13,3,12,28,42.9,16,25,4,21,15,44,26,1,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,6,4,0,5,1,3,7,42.9,4,13,2,11,0,6,5,0,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,18,10,10,5,3,11,17,64.7,6,24,5,19,5,23,27,0,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,17,14,8,5,4,6,18,33.3,12,16,4,12,13,30,39,0,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,12,7,4,6,2,5,12,41.7,7,6,0,6,5,17,6,0,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,15,9,8,3,4,12,15,80,3,0,0,0,2,17,5,0,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,5,4,1,3,1,2,4,50,2,5,0,5,3,8,4,0,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,57,30,22,29,6,32,46,69.6,14,30,8,22,28,85,48,1,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,26,19,7,14,5,6,23,26.1,17,15,0,15,11,37,16,1,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,46,26,23,20,3,23,47,48.9,24,18,5,13,34,80,33,9,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,11,8,2,5,4,4,10,40,6,15,2,13,0,11,19,0,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,33,19,20,13,0,15,26,57.7,11,41,25,16,33,66,148,0,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,4,2,4,0,0,4,6,66.7,2,0,0,0,0,4,15,4,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,5,3,3,1,1,4,7,57.1,3,3,1,2,0,5,5,0,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,3,2,0,3,0,0,2,0,2,4,0,4,1,4,10,0,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,29,18,17,7,5,13,26,50,13,19,3,16,10,39,12,0,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,1,1,1,0,0,1,1,100,0,0,0,0,0,1,2,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,1,1,1,0,0,1,2,50,1,2,1,1,2,3,2,0,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,13,7,7,4,2,10,17,58.8,7,5,3,2,6,19,21,0,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,61,33,20,27,14,28,42,66.7,14,37,2,35,28,89,23,1,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,50,35,24,21,5,24,56,42.9,32,26,6,20,26,76,34,4,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,19,14,10,6,3,6,11,54.5,5,5,2,3,8,27,14,1,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,33,21,19,11,3,19,33,57.6,14,25,5,20,27,60,72,3,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,32,16,6,16,10,14,31,45.2,17,23,2,21,10,42,18,0,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,9,7,7,1,1,4,5,80,1,3,1,2,1,10,4,0,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,19,13,9,5,5,7,12,58.3,5,9,3,6,2,21,12,0,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,14,7,10,4,0,10,14,71.4,4,6,3,3,15,29,59,0,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,67,40,23,37,7,32,83,38.6,51,30,7,23,42,109,48,1,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,49,27,26,19,4,31,48,64.6,17,32,9,23,32,81,94,2,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,20,11,11,7,2,10,15,66.7,5,10,3,7,12,32,27,1,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,68,43,46,18,4,30,39,76.9,9,34,19,15,44,112,137,3,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,6,2,4,2,0,3,3,100,0,4,3,1,1,7,7,0,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,26,11,5,15,6,9,17,52.9,8,24,11,13,16,42,34,0,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,10,5,6,4,0,6,9,66.7,3,6,0,6,1,11,1,0,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,20,9,3,11,6,3,13,23.1,10,19,4,15,2,22,26,0,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,4,3,0,1,3,1,2,50,1,0,0,0,0,4,2,0,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,4,4,0,3,1,3,4,75,1,5,0,5,3,7,2,1,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,8,2,4,3,1,6,13,46.2,7,2,0,2,0,8,1,0,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,40,23,29,8,3,19,33,57.6,14,35,25,10,30,70,199,2,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,18,10,13,4,1,8,12,66.7,4,16,9,7,16,34,50,1,Matches
