Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,51,2.03,34,6,2,5,2,2,6,0.24,6,0,0,0,0,0,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,35,1.2,34,0,0,1,0,0,6,0.21,5,0,0,1,0,0,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,46,3.64,32,0,5,5,3,1,8,0.63,5,0,1,0,2,0,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,2,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,40,2.7,26,6,5,2,1,0,0,0,0,0,0,0,0,0,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,96,3.15,46,44,2,4,0,0,7,0.23,5,2,0,0,0,0,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,90,3.84,77,6,1,3,2,1,13,0.56,12,0,0,0,1,0,Matches
158,Mouctar Diakhaby,gn GUI,DF,Valencia,27,1996,7.3,4,0.55,2,0,0,2,0,0,1,0.14,1,0,0,0,0,0,Matches
159,Assane Diao,sn SEN,FW,Betis,18,2005,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0,Matches
160,Moussa Diarra,ml MLI,DF,Alavés,23,2000,20.7,18,0.87,14,0,0,0,4,0,4,0.19,2,0,0,0,2,0,Matches
161,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,24,1999,15.4,56,3.64,43,0,6,5,1,1,12,0.78,7,0,1,3,0,1,Matches
162,Daniel Díaz,es ESP,MF,Real Sociedad,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Pedro Díaz,es ESP,MF,Rayo Vallecano,26,1998,13.5,50,3.72,33,7,5,5,0,0,5,0.37,1,0,2,2,0,0,Matches
164,Diego,es ESP,FW,Leganés,24,2000,13.3,12,0.9,7,0,0,2,3,0,1,0.08,0,0,0,0,1,0,Matches
165,Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Yan Diomandé,ci CIV,"MF,FW",Leganés,17,2006,6.1,37,6.11,25,0,8,2,1,1,5,0.83,2,0,3,0,0,0,Matches
167,Álvaro djaló,es ESP,FW,Athletic Club,24,1999,7.3,12,1.64,5,0,1,1,5,0,1,0.14,0,0,0,0,1,0,Matches
168,Djené,tg TOG,"DF,MF",Getafe,32,1991,28.3,21,0.74,18,1,0,0,1,1,1,0.04,1,0,0,0,0,0,Matches
169,Marko Dmitrović,rs SRB,GK,Leganés,32,1992,32,6,0.19,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Marc Domenech,es ESP,"FW,MF",Mallorca,18,2006,3.4,7,2.09,5,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
171,Carlos Dominguez,es ESP,DF,Celta Vigo,23,2001,13.1,6,0.46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Israel Domínguez,es ESP,FW,Sevilla,21,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Sergi Dominguez,es ESP,DF,Barcelona,19,2005,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,Anastasios Douvikas,gr GRE,FW,Celta Vigo,24,1999,7.8,11,1.41,5,0,2,1,3,0,1,0.13,1,0,0,0,0,0,Matches
175,Domingos Duarte,pt POR,DF,Getafe,29,1995,20.7,9,0.44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,Duk,cv CPV,"MF,FW",Leganés,24,2000,2,7,3.54,5,0,1,1,0,0,1,0.51,0,0,0,1,0,0,Matches
177,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,30,1.94,22,0,2,4,2,0,4,0.26,3,0,0,1,0,0,Matches
178,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,29,1.2,19,0,1,4,5,0,5,0.21,1,0,0,1,3,0,Matches
179,Chidera Ejuke,ng NGA,FW,Sevilla,26,1998,10.7,45,4.19,28,5,9,0,3,0,2,0.19,2,0,0,0,0,0,Matches
180,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,11,0.68,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
181,Adri Embarba,es ESP,"FW,MF",Rayo Vallecano,32,1992,17.9,46,2.58,28,10,1,1,6,0,2,0.11,2,0,0,0,0,0,Matches
182,Endrick,br BRA,FW,Real Madrid,18,2006,4,8,1.96,6,0,1,0,1,0,2,0.49,0,0,1,0,1,0,Matches
183,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,13,1.4,8,4,1,0,0,0,1,0.11,1,0,0,0,0,0,Matches
