Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
493,Leo Román,es ESP,GK,Mallorca,24,2000,7,137,240,57.1,4877,4009,9,9,100,61,64,95.3,67,167,40.1,0,0,0,0,0,4,0,0,0,Matches
494,Carlos Romero,es ESP,DF,Espanyol,22,2001,28.4,719,1007,71.4,11960,4409,359,430,83.5,294,377,78,55,136,40.4,1,2.1,2.4,-1.1,29,47,26,12,64,Matches
495,Isaac Romero,es ESP,FW,Sevilla,24,2000,24,310,441,70.3,4995,703,172,222,77.5,92,130,70.8,31,43,72.1,2,2.1,2.2,-0.1,20,20,11,4,29,Matches
496,Luka Romero,ar ARG,"FW,MF",Alavés,19,2004,2.2,34,49,69.4,515,110,18,24,75,14,14,100,1,8,12.5,0,0.2,0.4,-0.2,4,0,1,1,0,Matches
497,Oriol Romeu,es ESP,MF,Girona,32,1991,15.1,798,883,90.4,13866,3011,351,377,93.1,372,397,93.7,64,82,78,0,0.3,0.7,-0.3,8,81,2,1,73,Matches
498,Vitor Roque,br BRA,FW,Betis,19,2005,13.7,142,195,72.8,1986,451,73,96,76,49,61,80.3,6,8,75,0,1.2,0.7,-1.2,12,4,10,3,17,Matches
499,Valentin Rosier,fr FRA,DF,Leganés,27,1996,28.8,956,1206,79.3,14806,5646,525,570,92.1,351,434,80.9,53,126,42.1,2,1.1,1.3,0.9,11,72,17,4,74,Matches
500,Antonio Rüdiger,de GER,DF,Real Madrid,31,1993,25.5,1706,1858,91.8,32076,10610,644,666,96.7,875,919,95.2,168,239,70.3,0,0.5,0.9,-0.5,7,117,6,1,94,Matches
501,Aitor Ruibal,es ESP,"DF,FW",Betis,28,1996,14.6,495,612,80.9,7589,3113,259,277,93.5,183,221,82.8,34,72,47.2,3,2.4,1.9,0.6,20,36,12,6,50,Matches
502,Abel Ruiz,es ESP,FW,Girona,24,2000,15,239,272,87.9,3608,480,139,151,92.1,83,88,94.3,15,22,68.2,0,0.5,0.7,-0.5,8,14,5,0,23,Matches
503,Ferrán Ruiz,es ESP,MF,Girona,21,2003,0.2,3,6,50,39,15,2,3,66.7,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,1,Matches
